Layer_Src,Layer_Dst,Neuron_Src_ID,Neuron_Dst_ID,Base_Weight,Spline_0,Spline_1,Spline_2,Spline_3,Spline_4,Spline_5,Spline_6,Spline_7,Spline_8,Spline_9,Spline_10
0,1,0,0,-0.0151353385,0.34402597,0.32538274,0.15363896,0.025332946,0.7099996,0.22128284,-0.60610133,-0.023126772,-0.005343972,0.08691401,0.116551235
0,1,1,0,-0.010187461,-0.090028495,0.08511432,0.1187764,-0.027737722,-0.013942488,0.07770846,0.04172065,-0.084543504,-0.13202211,-0.046040222,0.00922019
0,1,2,0,0.013437315,0.07458647,-0.07482867,0.11627469,0.12989499,0.03203583,0.10085609,-0.04286316,0.0049993917,0.024226522,0.12415589,-0.057006706
0,1,3,0,0.07777336,0.51294535,0.08217585,-0.0072089843,-0.011019802,0.008840162,0.12471163,0.060958184,-0.063234836,-0.13553531,-0.06694944,0.06744294
0,1,4,0,0.039016537,-0.0068366006,-0.117871836,0.09028855,0.00930189,0.08866213,-0.041256364,0.12383165,-0.104593344,-0.01778533,-0.07786116,-0.008910075
0,1,5,0,0.06616001,0.06733415,-0.06169306,0.06885621,0.13972493,0.022256033,0.023525916,0.05260717,-0.044939123,0.065634824,0.07143652,-0.0558206
0,1,6,0,0.044076648,0.37410483,0.106746465,-0.19149607,-0.080216885,-0.24488291,-0.17121498,0.29453087,0.016907964,-0.06570478,-0.034889337,0.1347715
0,1,7,0,0.09457921,-0.06549589,-0.034627333,-0.016956732,0.15605842,0.09152021,0.1341953,-0.09084747,-0.10060724,-0.104179814,0.005344537,0.018385015
0,1,8,0,0.07364138,-0.089330725,0.06865228,-0.06379394,0.05507742,0.14092587,0.08162459,0.09486341,0.09088191,0.08234223,-0.016178092,-0.06709655
0,1,0,1,-0.09291465,-0.7190005,-0.32438698,0.15639816,-0.23824245,0.089744635,-0.07359833,-0.11632312,0.053274386,-0.061109915,-0.12676014,-0.053441714
0,1,1,1,-0.09886642,-0.10068753,0.31054598,0.07595248,-0.151643,0.07721583,-0.09656127,0.0562557,-0.16331899,0.0647501,-0.093435965,0.052627094
0,1,2,1,0.01913409,-0.022284493,0.099190526,-0.0512793,0.063971154,-0.09012594,-0.08891993,0.03630463,0.040720556,0.0070138755,-0.06577536,-0.0973124
0,1,3,1,-0.10265616,-0.9422135,-0.3300907,0.16447541,-0.15353397,0.0416229,0.050649837,0.11660133,0.18545923,0.019191172,-0.11344526,-0.084202096
0,1,4,1,0.083970554,-0.09078058,0.21622474,0.060563188,-0.06620799,-0.077639975,-0.033988763,-0.043311775,0.08548529,-0.023096051,0.02564052,-0.046909124
