Voltage [V],Current [A],Surface_Temp [C],Core_Temp [C],Label
2.6182400598963476,-3.0,6.633111485642019,25.0,0
2.618278176839943,-3.0,6.633111485642019,24.999995715230853,0
2.6183162878102544,-3.0,6.633111485642019,24.999991430445107,0
2.618392501393279,-3.0,6.633111485642019,24.999982860807222,0
2.6185448953392703,-3.0,6.633111485642019,24.999965721265937,0
2.61884955157323,-3.0,6.633111485642019,24.999931441121532,0
2.6194583448208517,-3.0,6.633111485642019,24.999862876585894,0
2.620673899242811,-3.0,6.633111485642019,24.99972573051747,0
2.623097142832691,-3.0,6.633111485642019,24.999451370272595,0
2.6279136586184983,-3.0,6.633111485642019,24.998902376223327,0
2.632695858988637,-3.0,6.633111485642019,24.998353110324217,0
2.637445237984301,-3.0,6.633111485642019,24.997803573019326,0
2.6468569642204676,-3.0,6.633111485642019,24.996703866968573,0
2.6561500430278286,-3.0,6.633111485642019,24.995603172441065,0
2.6743923970672845,-3.0,6.633111485642019,24.993398515325794,0
2.692201260919117,-3.0,6.633111485642019,24.99118952741071,0
2.709597778909263,-3.0,6.633111485642019,24.988976192426833,0
2.72659895218469,-3.0,6.633111485642019,24.986758549251533,0
2.7594700278864135,-3.0,6.633111485642019,24.98231068827829,0
2.7909108968220235,-3.0,6.633111485642019,24.97784681318319,0
2.8210126729065017,-3.0,6.633111485642019,24.973368181688215,0
2.87746159524382,-3.0,6.633111485642019,24.964371865364285,0
2.924344966230348,-3.0,6.633111485642019,24.956237051865457,0
2.967867085254181,-3.0,6.633111485642019,24.948072324458224,0
3.0083252826655933,-3.0,6.633111485642019,24.939883005007232,0
3.04598868804551,-3.0,6.633111485642019,24.931673662140724,0
3.0811006939025605,-3.0,6.633111485642019,24.923448072316887,0
3.1445186987848017,-3.0,6.633111485642019,24.90696134731519,0
3.2000914895256987,-3.0,6.633111485642019,24.89044498430883,0
3.248991236999392,-3.0,6.633111485642019,24.873913649781628,0
3.292335719958488,-3.0,6.633111485642019,24.85738177595141,0
3.3307723064716974,-3.0,6.633111485642019,24.84085832686219,0
3.365052738763069,-3.0,6.633111485642019,24.824349976586745,0
3.3958641791084174,-3.0,6.633111485642019,24.807862879550726,0
3.4235606179983984,-3.0,6.633111485642019,24.791401896190735,0
3.4485814430599557,-3.0,6.633111485642019,24.774971638834586,0
3.471264356645313,-3.0,6.633111485642019,24.758574186639805,0
3.4919008662189803,-3.0,6.633111485642019,24.742211589110298,0
3.510738394827161,-3.0,6.633111485642019,24.725885267368255,0
3.5438402913138414,-3.0,6.633111485642019,24.693345262715468,0
3.571944087485747,-3.0,6.633111485642019,24.660957215351914,0
3.5960911765966053,-3.0,6.633111485642019,24.628720078648087,0
3.617075622537007,-3.0,6.633111485642019,24.596630484041157,0
3.6355191794020034,-3.0,6.633111485642019,24.56468424302733,0
3.6519099729198787,-3.0,6.633111485642019,24.532876676923365,0
3.666637048396036,-3.0,6.633111485642019,24.5012030815069,0
3.6922996789560636,-3.0,6.633111485642019,24.43824294867187,0
3.714370507492098,-3.0,6.633111485642019,24.37577938625742,0
3.734089510180791,-3.0,6.633111485642019,24.313797566116477,0
3.7522737456604,-3.0,6.633111485642019,24.252285412126525,0
3.769456295405309,-3.0,6.633111485642019,24.19122950764921,0
3.785964213908954,-3.0,6.633111485642019,24.13061094993327,0
3.8019826455610457,-3.0,6.633111485642019,24.07040657816168,0
3.8175880780395315,-3.0,6.633111485642019,24.010589139209685,0
3.832776644101736,-3.0,6.633111485642019,23.95113070955739,0
3.861622082343212,-3.0,6.633111485642019,23.83318721868295,0
3.8877727395462593,-3.0,6.633111485642019,23.716405571688654,0
3.9106011911940017,-3.0,6.633111485642019,23.600670333782602,0
3.9298911949338704,-3.0,6.633111485642019,23.485897602827208,0
3.945877217290021,-3.0,6.633111485642019,23.372029032097544,0
3.959098243585865,-3.0,6.633111485642019,23.259049469343154,0
3.9701901788265843,-3.0,6.633111485642019,23.147004056281617,0
3.9797049418153776,-3.0,6.633111485642019,23.03596343970088,0
3.98807712873844,-3.0,6.633111485642019,22.925963912568534,0
3.995680221671945,-3.0,6.633111485642019,22.817004737475315,0
4.002884209048117,-3.0,6.633111485642019,22.709182462920808,0
4.0098112861665065,-3.0,6.633111485642019,22.60263570058129,0
4.016542802034966,-3.0,6.633111485642019,22.497439728331358,0
4.02315807249731,-3.0,6.633111485642019,22.393635730492406,0
4.029670686850904,-3.0,6.633111485642019,22.291242633273214,0
4.036169210812526,-3.0,6.633111485642019,22.19030184465379,0
4.042574599204622,-3.0,6.633111485642019,22.090840231678385,0
4.049036321372089,-3.0,6.633111485642019,21.992912171975092,0
4.055395942583916,-3.0,6.633111485642019,21.896497313389204,0
4.061766502774873,-3.0,6.633111485642019,21.801598665710117,0
4.068049596856137,-3.0,6.633111485642019,21.708191649735284,0
4.074393431904712,-3.0,6.633111485642019,21.616277924329665,0
4.080581963820996,-3.0,6.633111485642019,21.52581384549427,0
4.086896494759115,-3.0,6.633111485642019,21.43680638860303,0
4.092933653725678,-3.0,6.633111485642019,21.34918390045908,0
4.099218082995928,-3.0,6.633111485642019,21.262972165187705,0
4.105183448024242,-3.0,6.633111485642019,21.178081507654497,0
4.111167092673863,-3.0,6.633111485642019,21.0945100416331,0
4.1168977868724745,-3.0,6.633111485642019,21.012183711276975,0
4.122743867486181,-3.0,6.633111485642019,20.931106607400864,0
4.1281542771565265,-3.0,6.633111485642019,20.851183123311102,0
4.133651427220004,-3.0,6.633111485642019,20.77240978751422,0
4.138861033597623,-3.0,6.633111485642019,20.694736583102326,0
4.144029609587088,-3.0,6.633111485642019,20.618169153198437,0
4.1487409002648254,-3.0,6.633111485642019,20.54262754843063,0
4.1535251867570935,-3.0,6.633111485642019,20.468139536706076,0
4.157816928980214,-3.0,6.633111485642019,20.39461573999614,0
4.1619575064344,-3.0,6.633111485642019,20.322061298463723,0
4.165690701416937,-3.0,6.633111485642019,20.250409391929566,0
4.169397120759042,-3.0,6.633111485642019,20.17968436286776,0
4.1725470976831485,-3.0,6.633111485642019,20.109801309817442,0
4.175697842262865,-3.0,6.633111485642019,20.04079515228011,0
4.1785105267655975,-3.0,6.633111485642019,19.972625385214428,0
4.181273994233882,-3.0,6.633111485642019,19.905330240049068,0
4.183601055196946,-3.0,6.633111485642019,19.838847993642958,0
4.185963050459019,-3.0,6.633111485642019,19.77322235024235,0
4.188114513941253,-3.0,6.633111485642019,19.70842897359256,0
4.190267720301572,-3.0,6.633111485642019,19.644508082263144,0
4.192133418325896,-3.0,6.633111485642019,19.581423268147546,0
4.194167150493058,-3.0,6.633111485642019,19.519241937679112,0
4.195929454630782,-3.0,6.633111485642019,19.45792430412257,0
4.1977307856554456,-3.0,6.633111485642019,19.39749836572014,0
4.199364876896092,-3.0,6.633111485642019,19.337922496303918,0
4.200000000000003,-3.0,6.633111485642019,19.316838631171834,0
4.199999999999999,-2.998948866805483,6.633111485642019,19.316838631171834,0
4.200000000000001,-2.998653480404097,6.633111485642019,19.316564157219545,0
4.200000000000001,-2.9983585778377657,6.633111485642019,19.316289612297965,0
4.200000000000001,-2.9977700843976143,6.633111485642019,19.315740350515284,0
4.2,-2.9965996942215285,6.633111485642019,19.314640965847218,0
4.199999999999998,-2.994284010672167,6.633111485642019,19.312438964695673,0
4.199999999999998,-2.9897496634341034,6.633111485642019,19.308021898449454,0
4.199999999999999,-2.981027881343574,6.633111485642019,19.299137702856797,0
4.2,-2.9647325367148802,6.633111485642019,19.281183101174122,0
4.199999999999999,-2.9497173626240443,6.633111485642019,19.262996101961164,0
4.199999999999999,-2.922246802169079,6.633111485642019,19.2260160966203,0
4.199999999999999,-2.897328467606733,6.633111485642019,19.188292882285225,0
4.200000000000001,-2.874023955428282,6.633111485642019,19.14990161097154,0
4.2,-2.8517103574844906,6.633111485642019,19.110896571552416,0
4.199999999999998,-2.8088467026486246,6.633111485642019,19.03116466738834,0
4.199999999999999,-2.7666969539072244,6.633111485642019,18.94931650308928,0
4.199999999999998,-2.724374788072753,6.633111485642019,18.865480190979667,0
4.200000000000001,-2.682101387316851,6.633111485642019,18.77971314125847,0
4.1999999999999975,-2.639718026096493,6.633111485642019,18.692058300848373,0
4.200000000000001,-2.555517177680554,6.633111485642019,18.51139405427284,0
4.200000000000001,-2.4723857106147067,6.633111485642019,18.324129030070424,0
4.2,-2.391248908120733,6.633111485642019,18.13102922928806,0
4.200000000000001,-2.3127494493272036,6.633111485642019,17.932937288377502,0
4.199999999999999,-2.2374750352268817,6.633111485642019,17.73073844305992,0
4.200000000000001,-2.1655726254513636,6.633111485642019,17.525307809424987,0
4.200000000000001,-2.0970620656583057,6.633111485642019,17.317476870425367,0
4.199999999999999,-1.9702483561547623,6.633111485642019,16.897594878220104,0
4.200000000000001,-1.8559100341960402,6.633111485642019,16.476418769741827,0
4.200000000000001,-1.7526929020681177,6.633111485642019,16.058166059516054,0
